date,ws,wd,air_temp,atmos_pres,RH,Y,M,W,D,pm
2021/6/1,2.142857143,149.7619048,21.64642857,1007.3875,58.59010041,2021,6,22,152,14.42783816
2021/6/2,3.185185185,266.8181818,20.91818182,1005.114286,45.88490161,2021,6,22,153,20.78819444
2021/6/3,4.375,279.7959184,23.54464286,1003.6875,27.37384431,2021,6,22,154,3.326388889
2021/6/4,4.327272727,275.6097561,23.14285714,998.35,38.75609313,2021,6,22,155,6.220108696
2021/6/5,4.126785714,282.5818182,27.35892857,997.875,27.22514859,2021,6,22,156,7.586805556
2021/6/6,2.469642857,162.0625,27.16071429,1003.4,38.02615566,2021,6,22,157,11.78819444
2021/6/7,2.767857143,137.0454545,23.38928571,1010.0875,63.76724091,2021,6,23,158,19.92089372
2021/6/8,1.805357143,136.9714286,24.975,1010.7375,65.93409367,2021,6,23,159,26.79664855
2021/6/9,2.517857143,245.5813953,21.33571429,1010.525,84.35047232,2021,6,23,160,28.81504486
2021/6/10,2.111111111,214.4736842,25.72857143,1006.2625,55.32250255,2021,6,23,161,9.42906746
2021/6/11,2.482142857,167.9487179,28.37142857,1007.325,41.9460789,2021,6,23,162,14.875
2021/6/12,2.857142857,138.2222222,30.275,1006.4375,50.74466935,2021,6,23,163,31.19097222
2021/6/13,2.375,119.8,26.8875,1002.1625,77.13221857,2021,6,23,164,43.48611111
2021/6/14,2.071428571,98.62745098,23.25714286,1000.1625,91.50253975,2021,6,24,165,21.74849034
2021/6/15,2.589285714,122.2727273,25.01785714,1003.425,59.5354184,2021,6,24,166,23.47916667
2021/6/16,2.089285714,201.4583333,21.2625,1004.5875,85.34212753,2021,6,24,167,18.52777778
2021/6/17,4.142857143,282.0833333,27.56428571,1002.375,30.39720462,2021,6,24,168,7.699607488
2021/6/18,4.309090909,270.1886792,26.94821429,999.7125,26.71966894,2021,6,24,169,5.357638889
2021/6/19,4.625,291,28.78928571,997.7125,24.59567543,2021,6,24,170,8.659722222
2021/6/20,2.142857143,164.4186047,29.58035714,999.4625,28.70380628,2021,6,24,171,10.02486825
2021/6/21,2.962962963,112.7659574,28.19636364,1004.571429,40.7524999,2021,6,25,172,18.12575483
2021/6/22,3,150.8163265,27.4375,1009.225,44.08670593,2021,6,25,173,14.33680556
2021/6/23,1.944444444,170,23.29821429,1010.875,64.38300434,2021,6,25,174,18.16666667
2021/6/24,1.410714286,123.6363636,23.93035714,1007.175,68.75360452,2021,6,25,175,22.41666667
2021/6/25,2.303571429,121.6666667,22.075,1002.3875,86.69921158,2021,6,25,176,31.94535024
2021/6/26,1.872727273,150.4444444,22.86607143,1002.9875,82.99611096,2021,6,25,177,19.04924242
2021/6/27,2.285714286,122.244898,28.24821429,1003.1875,62.74194661,2021,6,25,178,25.16319444
2021/6/28,2.285714286,120.8,26.9,1002.775,70.28121018,2021,6,26,179,31.91621377
2021/6/29,2.660714286,109.1489362,24.29821429,1001.975,79.58273494,2021,6,26,180,26.52083333
2021/6/30,2.476785714,162.8604651,25.46428571,1002.575,69.60627501,2021,6,26,181,14.10280797
2021/7/1,2.571428571,178.8372093,21.58571429,1004.6375,83.21304994,2021,7,26,182,12.10763889
2021/7/2,2.660714286,159.4117647,25.275,1004.925,72.07683077,2021,7,26,183,10.54166667
2021/7/3,2.214285714,163.9215686,24.10178571,1002.9,77.49306384,2021,7,26,184,7.809027778
2021/7/4,2.321428571,247.75,27.23928571,1004.3125,61.54154985,2021,7,26,185,9.260416667
2021/7/5,2.142857143,116,24.61428571,1006.1125,80.08449283,2021,7,27,186,10.75694444
2021/7/6,1.625,131.75,25.18928571,1005.275,81.29595188,2021,7,27,187,12.74751984
